stockid,stocklong,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
SARDNWAZC,Sardine North West Africa Zone C,3930000,5180000,598000,545000,1620000,2960000,4720000,6030000,6290000,6260000,6170000,2190000,2810000,4030000,5040000,2310000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SARDPCOAST,Pacific sardine Pacific Coast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1534415,1774784,1471710,1097736,755371,594343,532226,340875,170633,81648,65405,57067,43483,52065,NA,NA,NA,NA
SARDPVIIIc-IXa,Sardine ICES 8c-9a,920000,619000,542000,441000,403000,336000,483000,537000,479000,457000,517000,559000,504000,378000,286000,229000,198000,147000,158000,135000,168000,199000,NA,NA,NA,NA,NA,NA
SARDSAS,Sardine South Africa (South Component),131600,299000,292000,611900,987400,1110600,2375400,3127200,2641100,1814700,833900,405500,330000,306700,349600,577900,288400,161400,386800,278100,287000,149400,305700,349500,385000,NA,NA,NA
SARDSAW,Sardine South Africa (West Component),606900,770400,1029400,1034100,909500,1301200,1084300,1281100,1030900,316900,176600,176300,99800,182200,438600,242900,328800,425700,122300,221000,92400,176100,99300,40100,89700,NA,NA,NA
SARDWSE,Sardine Western half of Southeast Australia,238640,175808,170776,171317,145892,240033,341382,378866,392983,427950,425230,381108,357896,349623,368015,363417,349083,423644,437699,413952,478274,480911,430348,NA,NA,NA,NA,NA
SAURNWPAC,Pacific saury Northwest Pacific,2686298,2185900.9,2067187.2,1471457.5,1424386.7,2022101.6,2404535,2715722.7,5150741,5151447,5367214,4461046.4,4294777,5107067.3,3771263.4,2984559.6,3701385.2,2938415.5,3559776,3345774,2296497.2,2273072.2,1343347.5,2370522.3,NA,NA,NA,NA
SBARSHARATL,Sandbar shark Atlantic,50323,47814,45804,44544,43164,41514,40495,39260,37910,37021,36610,36316,35884,36008,36424,36705,36881,37056,37244,37451,37620,NA,NA,NA,NA,NA,NA,NA
SBELLYROCKPCOAST,Shortbelly rockfish Pacific Coast,132000,123000,114000,103000,93000,84000,75000,68000,67000,66000,64000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SBREAMCH,Deepwater cardinalfish Chile,13500,13100,12500,11700,10300,9430,7680,6250,5280,4240,3710,2530,1710,1150,940,975,920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SBT,Southern bluefin tuna Southern Oceans,1260000,1170000,1090000,1000000,982000,982000,927000,871000,838000,816000,783000,727000,728000,762000,729000,763000,763000,786000,842000,899000,989000,1070000,NA,NA,NA,NA,NA,NA
SBWHITARGS,Southern blue whiting Southern Argentina,1072177,953122,853731,749097,645838,564419,481940,407990,348076,289593,221293,181853,138632,104176,77069,68089,79970,118625,174038,231110,281768,320000,355352,390609,435368,NA,NA,NA
SBWHITCH,Southern blue whiting Central-Southern Chile,1332570,1223920,1104570,996931,889560,822200,733310,649395,580630,503880,432543,382414,324343,275971,238137,208137,179948,165410,149256,147276,138036,131351,128005,120188,120438,130562,NA,NA
SCALL5ZMAB,Sea scallop Georges Bank and Mid-Atlantic Bight,45400,52800,57400,73900,98900,126000,149000,159000,166000,161000,153000,140000,126000,126000,133000,132000,123000,113000,109000,133000,175000,189000,193000,173000,147000,NA,NA,NA
SCALLGB,Sea scallop Georges Bank,6780,10100,7230,5420,9860,31600,30800,30200,22900,13200,12800,14800,20800,22500,16700,20400,21200,23300,25500,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCALLNBB,Sea scallop North Brown Bank,8940,5720,6630,6060,8290,10400,10900,14600,22700,15600,12200,10500,11300,5770,5050,9080,13100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDOGATLC,Spiny dogfish Atlantic Coast,520000,521000,489000,406000,358000,344000,338000,371000,347000,338000,454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEELNSSA1,Sand eel Sandeel Area 1,1860000,707000,2190000,911000,592000,689000,820000,1380000,276000,481000,388000,647000,505000,939000,562000,1730000,715000,399000,503000,351000,NA,NA,NA,NA,NA,NA,NA,NA
SEELNSSA2,Sand eel Sandeel Area 2,459000,313000,650000,351000,178000,233000,131000,309000,155000,224000,134000,210000,198000,281000,184000,340000,219000,163000,252000,174000,NA,NA,NA,NA,NA,NA,NA,NA
SEELNSSA3,Sand eel Sandeel Area 3,546000,741000,1700000,571000,369000,334000,243000,241000,99600,116000,103000,124000,302000,273000,309000,529000,249000,149000,267000,535000,NA,NA,NA,NA,NA,NA,NA,NA
SHAKE4VWX,Silver hake Scotian Shelf and Bay of Fundy,111000,112000,88000,67800,62500,71300,74400,48800,57300,71900,50300,59900,56600,65400,99300,111000,133000,132000,115000,146000,122000,NA,NA,NA,NA,NA,NA,NA
SHCROCKPCOAST,Sharpchin rockfish Pacific Coast,5230,5280,4050,7390,9520,12100,12300,12500,12600,11500,12700,12900,12800,12800,12800,12900,12900,12500,12800,NA,NA,NA,NA,NA,NA,NA,NA,NA
SILVERFISHSE,Silverfish Southeast Australia,22012,24617.1,25437.9,24559.5,22604.9,19849.4,18331.7,18133.9,17577.1,17969.1,17185.7,15795.5,14011.7,12261,10702.1,9110.35,7733.24,6679.23,6164.61,5884.9,6224.22,6842.76,7865.59,NA,NA,NA,NA,NA
SKJCIO,Skipjack tuna Indian Ocean,1200000,1050000,1080000,1190000,1810000,1600000,1320000,1370000,1090000,808000,1100000,1240000,578000,510000,698000,939000,947000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKJCWPAC,Skipjack tuna Central Western Pacific Ocean,4440000,4410000,4180000,4510000,4650000,4250000,3780000,3710000,3350000,3390000,3860000,4020000,4270000,3710000,3380000,3470000,3410000,3770000,4470000,4840000,4410000,NA,NA,NA,NA,NA,NA,NA
SKJEATL,Skipjack tuna Eastern Atlantic,623000,636000,651000,658000,652000,653000,657000,668000,670000,660000,653000,656000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKJWATL,Skipjack tuna Western Atlantic,33800,40600,40100,37000,37200,38500,37900,36000,41900,42400,40900,39600,40300,41300,43900,42600,43700,38300,35100,37600,NA,NA,NA,NA,NA,NA,NA,NA
SLKSHARCWPAC,Silky shark Central Western Pacific Ocean,76600,75900,74500,72800,69400,65300,62200,58700,55000,52700,50200,47400,43800,38900,33700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMDOGATL,Smooth dogfish Atlantic,12005,12255,13115,13772,14501,15230,16879,20670,23954,26533,28713,30010,30087,28928,27061,25073,23247,22340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMULLMEDGSA5,Surmullet Balearic Island,NA,NA,NA,NA,NA,566.19,550.09,509.81,498.89,547.75,554.35,536.98,559.38,504.81,449.32,423.84,362.55,344.35,328.72,342.82,353.86,373.83,373.93,401.76,364.86,381.29,428.39,NA
SMULLMEDGSA9,Surmullet Ligurian and North Tyrrhenian Sea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1580,1340,1190,1450,1290,1180,1300,1440,1410,1270,NA,NA,NA,NA,NA,NA,NA
SNAPSAUSGSV,Snapper Gulf St. Vincent,1028.043762,1222.28311,1368.145284,1497.93301,1643.795185,1773.544455,1967.783802,2145.871789,2340.111137,2534.312029,2970.206507,3373.913629,3648.679049,3939.595831,4133.796724,4295.771804,4328.882095,4152.486156,3895.564144,3525.813336,2898.294493,2286.8500989999998,1610.99254,1080.151131,694.287417,356.800876,357.6469,374.60583
SNAPSAUSSER,Snapper South-East Region,62.333157,70.448674,78.563473,86.678272,97.493452,100.208924,102.924396,108.34025,108.356058,138.068163,259.569541,445.862121,570.062444,678.065505,721.275927,659.199478,456.741254,289.377935,230.001868,197.621716,173.340555,176.056745,221.966831,278.67557,327.286036,356.998142,340.815971,354.330815
SNAPSAUSSGWC,Snapper Spencer Gulf and West Coast,3648.621275,4268.972221,4641.133108,4847.833956,4827.027249,4764.861447,4806.102256,4888.708073,5054.043912,5198.697245,5239.943967,5157.089746,4867.410476,4391.588661,3812.354322,3295.167498,2777.980673,2426.259802,2074.533017,1826.218757,1577.904496,1308.907731,1081.275975,853.64422,626.018378,460.434137,501.674946,542.915754
SNOWCRAB3K,Snow crab Division 3K,10100,19400,18500,18500,8410,9790,11100,8620,3570,5480,6730,10300,15800,14300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNOWCRAB3Ps,Snow crab St. Pierre Bank,NA,4350,1110,1560,2440,878,491,367,419,194,490,NA,207,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNOWCRAB4X,Snow crab Western Scotian Shelf,NA,NA,NA,NA,140.44214,234.07022,390.11703,218.46555,296.48895,421.3264,312.09363,327.6983,265.27957,280.88428,249.6749,358.90768,390.11703,109.23277,62.418724,93.62809,171.65149,78.02341,46.814045,NA,NA,NA,NA,NA
SNOWCRABBS,Snow crab Bering Sea,177000,241000,240000,176000,147000,118000,98100,99300,112000,117000,113000,129000,153000,183000,202000,192000,139000,99400,82800,66300,57300,59500,86100,71200,33800,26700,NA,NA
SNOWCRABESJ,Snow crab Sea of Japan East,NA,NA,NA,1630,2470,3300,3320,1790,3140,2460,2560,2410,3050,2740,3600,4410,2780,3880,1760,3280,NA,NA,NA,NA,NA,NA,NA,NA
SNOWCRABNENS,Snow crab North-Eastern Nova Scotia,NA,NA,NA,NA,1853.0024,2374.621,2525.59,2675.7429,2331.1255,2141.9654,1580.2789,1297.9258,1293.6825,1444.2434,1657.477,1714.1109,1308.8609,1118.8847,1516.7086,1760.4624,1601.2512,1102.0741,1159.6872,NA,NA,NA,NA,NA
SNOWCRABNPAC,Snow crab North Pacific,NA,NA,NA,751,1140,1390,497,826,1040,749,913,992,1780,1530,1110,935,856,1140,381,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNOWCRABSENS,Snow crab South-Eastern Nova Scotia,NA,NA,NA,NA,35249.023,38222.286,42066.143,41428.394,40492.294,38957.12,34434.47,34087.97,38834.778,38795.315,39058.937,38719.543,34485.775,31162.853,35899.4,34372.906,31343.601,40100,37640,NA,NA,NA,NA,NA
SNOWCRABWSJ,Snow crab Sea of Japan West,NA,NA,NA,NA,16400,12300,11900,15400,20800,25500,29800,25700,33700,22400,20500,27800,22200,16900,22300,16700,14700,NA,NA,NA,NA,NA,NA,NA
SNOWGROUPSATLC,Snowy grouper Southern Atlantic coast,1150,1170,1190,1010,1040,1020,1030,1100,1160,1140,1060,922,797,800,890,941,972,1130,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNROCKPCOAST,Splitnose rockfish Pacific Coast,36600,36100,36000,36300,34400,35600,36200,38000,42800,46700,51700,56700,60700,64900,70200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOLECS,Common sole Celtic Sea,2979,2969,2893,3013,4184,3848,5313,5796,5408,4727,4678,3968,3784,4289,5127,4866,4814,4613,4430,4102,4586,5118,5976,6404,6924,NA,NA,NA
SOLEIIIa-2224,Common sole ICES 22-24-3a,4220,3730,3090,2680,3010,3010,3330,3890,3900,4290,4240,3680,3260,2890,3000,2760,2720,2850,2230,2730,2750,3470,3460,NA,NA,NA,NA,NA
SOLEIS,Common sole Irish Sea,3963,3081,3444,4253,4325,3921,4314,4021,3613,2781,2515,1890,1657,1586,1354,1468,1263,1300,1211,976,1536,1696,2297,3088,3427,NA,NA,NA
SOLENS,Common sole North Sea,76600,56400,58100,72400,74500,63500,55200,53500,58600,54000,42000,41200,45800,47300,45500,55300,69800,50700,52400,54900,68700,67200,64800,NA,NA,NA,NA,NA
SOLEVIId,Common sole Eastern English Channel,20500,20800,21700,17200,19000,18600,18700,20000,29400,20600,23700,24100,19700,23700,25300,22900,24900,22300,25000,23100,18500,17700,17300,NA,NA,NA,NA,NA
SOLEVIIe,Common sole Western English Channel,3892,4176,3861,3983,3997,4375,4594,4280,4520,4146,4121,3852,3975,4000,4205,4708,5048,4922,4816,5162,5272,6329,6018,5934,NA,NA,NA,NA
SOLEVIIIab,Common sole ICES 8ab,17600,17700,16400,16400,15900,15500,13000,13200,13300,14100,14400,15100,14000,13900,15600,17100,18500,16800,15700,12900,13000,13700,16000,NA,NA,NA,NA,NA
SOUTHHAKECH,Southern hake Central-Southern Chile,632259,644129,657740,671232,682302,690820,695639,698289,700638,696765,690411,684101,670524,653109,633716,614004,594217,584849,572769,563838,565345,563465,557614,556150,548813,NA,NA,NA
SOUTHHAKEWCSI,Southern hake West Coast South Island,101154,95220.7,90284.3,86710.8,81435.7,76341.5,71121.4,65305.7,59780.1,53376.9,47430.1,42279.9,37554.6,35641.7,34919.6,34187.9,35055.1,34814.7,33603,32493.9,30767.6,30029.8,30966.2,32554.3,36234.9,40635.6,45115.3,49373
SPANMACKGM,Spanish mackerel Gulf of Mexico,11000,11500,12600,13100,15500,15800,16300,16100,16300,18000,19700,22000,22100,24300,25300,25100,28400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPANMACKSATLC,Spanish mackerel Southern Atlantic coast,7430,7680,7970,7860,8400,9420,9720,9820,10600,11000,11600,11700,11800,12400,13500,13200,12100,11400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPANMACKSETO,Japanese Spanish mackerel Inland Sea of Japan,2050,1130,958,704,1240,1540,2220,2880,3650,3070,3200,3010,2900,3140,3700,4180,4280,4690,4930,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPHAKECH,South Pacific hake Central-Southern Chile,1479500,1475590,1332660,1172530,1099610,1007900,845564,586952,438365,273223,270655,245286,233511,242592,223601,218276,192004,181851,181602,193093,208785,283827,292654,332022,353788,381369,NA,NA
SPRAT22-32,Sprat Baltic Areas 22-32,3276000,3056000,2797000,2497000,2069000,2255000,1823000,1563000,1548000,2149000,1891000,1691000,1740000,1736000,2000000,1678000,1286000,1240000,1186000,1103000,1716000,1793000,1772000,1755000,1664000,NA,NA,NA
SPSDOGPCOAST,Spotted spiny dogfish Pacific Coast,231000,230000,229000,229000,228000,227000,226000,225000,224000,224000,222000,222000,221000,219000,219000,218000,217000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPURDNEATL,Spurdog Northeast Atlantic,344800,335472,329881,325745,322461,320323,314278,307387,306239,304086,304972,306748,313169,321145,330671,340320,349172,358102,367455,376770,386343,396400,406569,416836,426532,436999,NA,NA
SRAKEROCKBSAI,Shortraker rockfish Bering Sea and Aleutian Islands,NA,NA,NA,NA,NA,NA,NA,23706,23218,22826,21772,20932,21193,21829,21941,22119,22340,22710,22636,22681,22837,22995,23512,24055,NA,NA,NA,NA
SRAKEROCKGA,Shortraker rockfish Gulf of Alaska,NA,20258,NA,NA,28275,NA,27914,NA,42023,NA,42568,NA,35125,NA,44185,NA,64835,NA,67370,NA,62317,NA,31534,NA,NA,NA,NA,NA
SSANDWSJ,Sailfin sandfish Sea of Japan West,NA,NA,NA,NA,NA,NA,NA,NA,NA,17800,36100,22900,8840,37600,22200,14800,34900,18900,24700,NA,NA,NA,NA,NA,NA,NA,NA,NA
SSARDCH,Southern sardine Central-Southern Chile,NA,NA,NA,NA,NA,NA,NA,194920,200800,210790,266800,252550,207380,176060,150360,107450,99342,146180,140570,149190,135130,90698,74464,70331,110240,113800,NA,NA
SSHRIMPSMAGTSE,Sidestripe shrimp Shrimp Management Area GTSE,NA,NA,NA,180,51.3,45.9,92,162,64.6,55.2,NA,NA,65,78.3,108,313,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SSLOBSTERSASC,Southern spiny lobster South Africa South coast,1944.26,2189.57,2149.99,2318.49,2347.78,2527.6,2678.79,2725.9,2642.21,2508.56,2217.76,2222.52,2261.03,2559.25,2404.03,2693.56,2475.74,2997,2524.69,3054.63,3041.47,2301.43,2310.56,2343.39,2376.79,NA,NA,NA
SSSHRIMPSMA16,Sidestripe shrimp Shrimp Management Area 16,NA,NA,NA,NA,26.7,26,29.9,33.4,17.1,18.9,NA,NA,14.8,93.1,49.7,91.3,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SSSHRIMPSMA18-19,Sidestripe shrimp Shrimp Management Areas 18 and 19,NA,NA,NA,29.8,49.6,35.6,29.3,37.3,NA,17,NA,42.1,35.5,36.5,35.8,19.4,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SSTHORNHGA,Shortspine thornyhead Gulf of Alaska,66200,71100,73300,75600,78000,79000,80200,83700,87600,87800,88100,85900,84200,81600,79300,79300,79900,80800,81800,83300,85000,87200,89400,88100,86800,86800,NA,NA
SSTHORNHPCOAST,Shortspine thornyhead Pacific Coast,263000,261000,259000,257000,255000,254000,253000,253000,252000,251000,251000,250000,250000,249000,247000,246000,245000,244000,244000,NA,NA,NA,NA,NA,NA,NA,NA,NA
STFLOUNNPCOAST,Starry flounder Northern Pacific Coast,8010,8080,14000,12100,9670,8330,6740,5440,4840,5220,5440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STFLOUNSPCOAST,Starry flounder Southern Pacific Coast,1680,2280,2570,3960,4370,4670,4050,3390,3870,3610,3460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STMARLINIO,Striped marlin Indian Ocean,16362.1686,15130.67134,12932.20497,11392.9091,9985.544215,9237.228704,8532.607577,8662.842878,8134.331612,7957.010541,6637.640031,5669.580837,4876.965339,4787.759759,4829.94013,6102.891036,7287.787011,7725.820928,6713.764548,5877.636349,6447.359018,6445.602764,5609.535126,NA,NA,NA,NA,NA
STMARLINNEPAC,Striped marlin Northeast Pacific,4770,6280,6510,5670,4900,4020,3430,3030,2600,2910,3120,3800,4040,4350,5060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STMARLINSWPO,Striped marlin Western Pacific Ocean,8840,9110,10000,10500,9470,8020,7470,7400,6890,6080,5490,5560,5930,6250,6010,5910,6640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STMARLINWCNPAC,Striped marlin Western and Central North Pacific,10800,8800,7750,9870,8400,6830,8070,7480,10100,9870,8090,8680,6920,6770,6410,5160,7820,7350,6820,NA,NA,NA,NA,NA,NA,NA,NA,NA
SURFMATLC,Atlantic surfclam Mid-Atlantic Coast,2140000,2060000,1990000,1990000,1940000,1930000,1900000,1820000,1740000,1710000,1690000,1590000,1440000,1310000,1190000,1100000,1060000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWHITSE,School whiting Southeast Australia,11219,10038.8,9576.59,9432.02,9550.64,10044,10507.5,10019.5,9967.85,10591.3,11669.3,12156.2,11271.8,10419,9927.17,9397.83,8880.37,8243.6,8203.25,9171.65,10380.5,10436.1,10348.3,10421.3,10931.4,NA,NA,NA
SWORDEPAC,Swordfish Eastern Pacific,31500,33600,36200,38000,37900,43400,46500,44300,42000,40700,39600,43100,48000,53800,60600,62100,60800,58600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWORDMED,Swordfish Mediterranean Sea,66100,64200,66100,71300,71100,74700,65700,67200,64300,65000,69800,78900,67500,64600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWORDNATL,Swordfish Northern Atlantic,60376.7447,57401.13707,56641.41488,58183.29276,58860.25562,59892.45301,62429.64498,64801.45505,66256.60529,66639.08701,65938.4721,67557.47963,69054.64935,72602.81921,74382.95265,76612.16906,76359.77927,75373.00494,75448.41877,76848.26909,78344.33988,NA,NA,NA,NA,NA,NA,NA
SWORDNPAC,Swordfish North Pacific Ocean,56300,56272,54792,51856,54820,60870,59366,59948,60113,61065,65727,68991,68884,68131,68144,66417,66087,68177,67885,69560,71951,71979,NA,NA,NA,NA,NA,NA
SWORDSATL,Swordfish South Atlantic,69800,61900,57800,53400,53500,52100,50300,49100,48900,50100,51000,51800,51600,50000,51400,52800,54200,57000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TANNERCRABBSAI,Tanner crab Bering Sea and Aleutian Islands,29800,23800,19600,17100,16400,17100,19100,22300,26600,32500,39400,46400,53000,59300,58100,50600,43300,42700,52100,61600,59800,53100,43700,36000,39500,NA,NA,NA
TASGIANTCRABTAS,Tasmanian giant crab Tasmania,1680,1360,1130,969,846,878,795,766,804,777,836,797,762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TIGERFLATSE,Tiger flathead Southeast Australia,20600,20900,21200,20900,20700,21200,22900,24000,23500,22200,21700,22200,21000,19800,18800,18900,19700,20300,21300,22800,23400,NA,NA,NA,NA,NA,NA,NA
TILEGM,Tilefish Gulf of Mexico,1260,1200,1260,1260,1310,1350,1350,1340,1310,1310,1260,1140,1120,1070,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TILESATLC,Tilefish Southern Atlantic coast,2310,2260,2350,2350,2440,2440,2730,3130,3620,4060,4550,4860,4960,5170,5340,5270,5240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TREVALLYTRE7,Trevally New Zealand Areas TRE 7,31200,30000,29400,29100,28800,28700,28600,28800,28800,28600,28200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TURIV,Turbot North Sea,10075.9584,9409.272582,9053.58516,8896.496692,9101.853777,10115.70809,9905.778642,9421.485498,8805.872387,8753.639609,8748.12122,9033.655352,10170.26431,10220.1325,10175.78989,9883.415628,10704.77284,11486.67912,11439.63451,12128.28499,13663.35211,14338.38268,14119.031429999999,13630.44643,NA,NA,NA,NA
VSNAPGM,Vermilion snapper Gulf of Mexico,12200,11100,10600,9830,9190,9380,10100,10200,10400,10200,9850,9830,10800,11100,10700,10100,10300,10300,10900,11500,NA,NA,NA,NA,NA,NA,NA,NA
VSNAPSATLC,Vermilion snapper Southern Atlantic coast,2670,2600,2940,3010,3320,3430,3110,2970,2900,2560,2590,2820,2750,2560,2290,2200,2190,2120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WANGLVII-VIIIabd,White anglerfish ICES 7-8abd,78394,72253,67180,57326,53131,48326,59176,62706,67156,68249,66592,69462,76586,75944,70457,69971,77633,89434,88762,92607,95415,104194,112257,115872,NA,NA,NA,NA
WANGLVIIIc-IXa,White anglerfish ICES 8c-9a,4643,6592,7547,6830,5807,5120,4967,5852,7999,9411,9630,9076,8891,9192,9276,9115,9593,10884,12165,13188,13643,14401,14645,14757,14645,NA,NA,NA
WAREHOUESE,Blue warehou Eastern half of Southeast Australia,4370,4540,4000,2950,1970,1370,1000,1030,1110,1090,1110,1140,1260,1680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAREHOUWSE,Blue warehou Western half of Southeast Australia,1460,1610,1950,1560,999,969,1140,1190,1530,1770,1650,1480,1190,1430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WHAKE4T,White hake Southern Gulf of St. Lawrence,34800,30500,28700,25600,35000,33600,36000,39100,36100,33200,36300,47000,44800,39900,31200,29600,26000,20000,21900,NA,NA,NA,NA,NA,NA,NA,NA,NA
WHAKEGBGOM,White hake Gulf of Maine / Georges Bank,11000,10500,9870,11000,12300,11500,12600,15300,16100,15400,14900,13600,16700,19200,19100,24600,31200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WHITNS-VIId,Whiting ICES 4-7d,299314,281410,332379,334127,403119,531900,457647,294791,255342,338418,321273,488581,457676,306918,370413,431813,355588,284027,284367,480393,427890,373128,290881,293190,NA,NA,NA,NA
WHITVIa,Whiting West of Scotland,60174.889,59111.425,52377.016,45820.285,35947.501,35621.354,29065.968,15906.126,13080.372,9163.211,5733.194,4784.703,4709.945,4358.185,4879.892,5232.49,6467.831,8038.767,7691.321,9054.069,15895.163,21942.875,25694.062,31459.695,NA,NA,NA,NA
WHITVIIa,Whiting Irish Sea,6915.524372,7272.473358,5369.606002,4268.241192,3105.082598,3492.466069,2273.041043,2871.968689,1848.185209,2357.976829,1389.403452,2205.216688,2112.058965,1669.595264,2220.505116,1716.639294,1469.646404,2163.881218,1619.363388,2788.931281,2572.353202,2103.228207,1838.557755,2175.082424,NA,NA,NA,NA
WHITVIIbce-k,Whiting Celtic Sea,NA,NA,NA,NA,120000,93800,85600,77900,67800,82400,66600,60700,69600,62700,78900,94700,103000,107000,157000,128000,95300,NA,NA,NA,NA,NA,NA,NA
WLFLOUNNPAC,Willowy flounder North Pacific,NA,NA,NA,1200,1030,774,607,604,570,612,650,633,618,662,776,777,649,655,673,NA,NA,NA,NA,NA,NA,NA,NA,NA
WMARLINATL,White marlin Atlantic Ocean,5047.961342,4766.096883,4955.178986,4783.873349,4253.982388,3874.037265,3563.231098,3967.257127,3675.166066,4278.646206,4445.740341,4298.820055,3946.961615,3859.834781,4005.476737,4343.929767,4800.598058,5022.051636,5095.320239,4969.630244,4864.088709,4799.669796,4877.973042,NA,NA,NA,NA,NA
WPOLLAI,Walleye pollock Aleutian Islands,307000,247000,217000,196000,169000,169000,173000,186000,198000,201000,198000,191000,185000,186000,193000,195000,194000,193000,196000,204000,216000,NA,NA,NA,NA,NA,NA,NA
WPOLLBOGO,Walleye pollock Bogoslof,1020250,673355,420677,472328,437722,305036,235233,225016,207778,227272,248595,243294,277523,180179,116980,100153,85747,73413,94890,122649,230918,434760,434760,NA,NA,NA,NA,NA
WPOLLEBS,Walleye pollock Eastern Bering Sea,13100000,11200000,9800000,9900000,10800000,10000000,9800000,10200000,12200000,11400000,9520000,7260000,5840000,4610000,5880000,5620000,7930000,7850000,8260000,8050000,7780000,NA,NA,NA,NA,NA,NA,NA
WPOLLGA,Walleye pollock Gulf of Alaska,1270000,1060000,1090000,969000,771000,678000,643000,812000,1010000,825000,681000,583000,559000,873000,1350000,1530000,1400000,1270000,1260000,1130000,1730000,NA,NA,NA,NA,NA,NA,NA
WPOLLNAVAR,Walleye pollock Navarinsky,981000,1050000,1040000,798000,867000,798000,712000,888000,820000,1600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPOLLNSO,Walleye pollock Northern Sea of Okhotsk,10900000,10100000,8750000,7340000,5950000,6050000,5820000,6120000,6460000,6810000,7140000,7340000,7320000,7440000,7320000,7020000,7340000,7020000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPOLLWBS,Walleye pollock Western Bering Sea,536000,439000,387000,324000,308000,268000,262000,297000,401000,585000,677000,879000,988000,954000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WROCKPCOAST,Widow rockfish Pacific Coast,72200,70600,70000,68200,66700,64000,62100,64700,69400,75000,78400,80300,81300,86200,86900,90500,91400,106000,113000,127000,132000,NA,NA,NA,NA,NA,NA,NA
YEGROUPGM,Yellowedge grouper Gulf of Mexico,5520,5490,5370,5360,5500,5560,5640,5610,5520,5570,5610,5500,5470,5490,5530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YELL3LNO,Yellowtail flounder Grand Banks,20500,31200,45300,62000,76300,87900,94500,97400,103000,105000,107000,108000,120000,126000,120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YELLGB,Yellowtail flounder Georges Bank,6230,7280,11300,13500,16300,19400,19600,18700,17400,13000,7870,9040,14300,20800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
